"Especies","Familia","Genero","Sigla sp.","Subespecie","Sigla ssp","Variedad","Sigla Var","Forma","Sigla f.","Publicado en","Volumen","Paginas","A?o","Habito","Status","Elevacion (m s.m.)","Distribuci?n Argentina","Pa?ses lim?trofes","Notas","Nombre cientifico","Condicion","Direccion"
"HABENARIA BALANSAE","Orchidaceae","Habenaria","Cogn.","","-","","-","","-","-","-","-","-","Hierba terrestre Perenne","Nativa          ","Altura Min. 0 - Altura Máx. 900","","","Parana, Rio Grande Do Sul, Santa Catarina","Habenaria balansae Cogn.","Aceptado","http://www.darwin.edu.ar/Proyectos/FloraArgentina/DetalleEspecie.asp?forma=&variedad=&subespecie=&especie=balansae&genero=Habenaria&espcod=174966"
"VALDIVIA GAYANA","Escalloniaceae","Valdivia","J. Remy","","-","","-","","-","Hist. Chile, Bot.","3","44, t. 29","1848","Hierba Perenne","Endémica        ","Altura Min. 0 - Altura Máx. 300","",""," Región X","Valdivia gayana J. Remy","Aceptado","http://www.darwin.edu.ar/Proyectos/FloraArgentina/DetalleEspecie.asp?forma=&variedad=&subespecie=&especie=gayana&genero=Valdivia&espcod=76720"
